payment_method,platform,is_supported,note
CULTURELAND_CASH,GALAXY_STORE,TRUE,컬쳐랜드 계정 직접 연동 결제 (수수료 없음)
CULTURELAND_CASH,GOOGLE_PLAY,TRUE,구글 Play 기프트코드 바로충전 (수수료 3%)
CULTURELAND_CASH,ONE_STORE,FALSE,원스토어 컬쳐랜드 직접 결제 수단 폐지 (불가)
CULTURELAND_CASH,APP_STORE,FALSE,앱스토어 컬쳐랜드 직접 결제 미지원 (불가)
PAYCO,GOOGLE_PLAY,TRUE,
PAYCO,GALAXY_STORE,TRUE,
PAYCO,ONE_STORE,TRUE,
PAYCO,APP_STORE,TRUE,
TOSS_PAY,GOOGLE_PLAY,TRUE,
TOSS_PAY,GALAXY_STORE,TRUE,
TOSS_PAY,ONE_STORE,TRUE,
TOSS_PAY,APP_STORE,TRUE,
GALAXY_STORE_GIFTCARD,GOOGLE_PLAY,FALSE,
GALAXY_STORE_GIFTCARD,GALAXY_STORE,TRUE,
GALAXY_STORE_GIFTCARD,ONE_STORE,FALSE,
GALAXY_STORE_GIFTCARD,APP_STORE,FALSE,
GOOGLE_PLAY_GIFTCARD,GOOGLE_PLAY,TRUE,
GOOGLE_PLAY_GIFTCARD,GALAXY_STORE,FALSE,
GOOGLE_PLAY_GIFTCARD,ONE_STORE,FALSE,
GOOGLE_PLAY_GIFTCARD,APP_STORE,FALSE,
NAVER_PAY,GOOGLE_PLAY,TRUE,
NAVER_PAY,GALAXY_STORE,TRUE,
NAVER_PAY,ONE_STORE,TRUE,
NAVER_PAY,APP_STORE,TRUE,
SAMSUNG_PAY,GOOGLE_PLAY,FALSE,
SAMSUNG_PAY,GALAXY_STORE,TRUE,
SAMSUNG_PAY,ONE_STORE,TRUE,
SAMSUNG_PAY,APP_STORE,FALSE,
STORE_MEMBERSHIP_REWARD,GOOGLE_PLAY,TRUE,
STORE_MEMBERSHIP_REWARD,GALAXY_STORE,TRUE,
STORE_MEMBERSHIP_REWARD,ONE_STORE,TRUE,
STORE_MEMBERSHIP_REWARD,APP_STORE,FALSE,
CREDIT_CHECK_CARD,GOOGLE_PLAY,TRUE,
CREDIT_CHECK_CARD,GALAXY_STORE,TRUE,
CREDIT_CHECK_CARD,ONE_STORE,TRUE,
CREDIT_CHECK_CARD,APP_STORE,TRUE,
APPLE_GIFTCARD,GOOGLE_PLAY,FALSE,
APPLE_GIFTCARD,GALAXY_STORE,FALSE,
APPLE_GIFTCARD,ONE_STORE,FALSE,
APPLE_GIFTCARD,APP_STORE,TRUE,
APPLE_PAY,GOOGLE_PLAY,FALSE,
APPLE_PAY,GALAXY_STORE,FALSE,
APPLE_PAY,ONE_STORE,FALSE,
APPLE_PAY,APP_STORE,TRUE,
ONESTORE_GIFTCARD,GOOGLE_PLAY,FALSE,
ONESTORE_GIFTCARD,GALAXY_STORE,FALSE,
ONESTORE_GIFTCARD,ONE_STORE,TRUE,
ONESTORE_GIFTCARD,APP_STORE,FALSE,
KCP_BANK_ACCOUNT,GOOGLE_PLAY,TRUE,
KCP_BANK_ACCOUNT,GALAXY_STORE,TRUE,
KCP_BANK_ACCOUNT,ONE_STORE,TRUE,
KCP_BANK_ACCOUNT,APP_STORE,FALSE,
KAKAO_PAY,GOOGLE_PLAY,TRUE,
KAKAO_PAY,GALAXY_STORE,TRUE,
KAKAO_PAY,ONE_STORE,TRUE,
KAKAO_PAY,APP_STORE,TRUE,
CULTURELAND_PAYMENT,GOOGLE_PLAY,FALSE,
CULTURELAND_PAYMENT,GALAXY_STORE,TRUE,
CULTURELAND_PAYMENT,ONE_STORE,FALSE,
CULTURELAND_PAYMENT,APP_STORE,FALSE,
QUICK_BANK_TRANSFER,GOOGLE_PLAY,FALSE,
QUICK_BANK_TRANSFER,GALAXY_STORE,TRUE,
QUICK_BANK_TRANSFER,ONE_STORE,TRUE,
QUICK_BANK_TRANSFER,APP_STORE,FALSE,
SKT,GOOGLE_PLAY,TRUE,
SKT,GALAXY_STORE,TRUE,
SKT,ONE_STORE,TRUE,
SKT,APP_STORE,TRUE,
KT,GOOGLE_PLAY,TRUE,
KT,GALAXY_STORE,TRUE,
KT,ONE_STORE,TRUE,
KT,APP_STORE,TRUE,
LGU_PLUS,GOOGLE_PLAY,TRUE,
LGU_PLUS,GALAXY_STORE,TRUE,
LGU_PLUS,ONE_STORE,TRUE,
LGU_PLUS,APP_STORE,TRUE,
TELECOM_DISCOUNT,GOOGLE_PLAY,FALSE,
TELECOM_DISCOUNT,GALAXY_STORE,FALSE,
TELECOM_DISCOUNT,ONE_STORE,TRUE,
TELECOM_DISCOUNT,APP_STORE,FALSE,
