benefit_id,source_file,category,provider_or_retailer,item_or_event_name,target_platform,target_game,channel_type,benefit_type,benefit_value,benefit_unit,min_spend_krw,max_benefit_krw,min_prev_month_spend_krw,condition_type,is_first_purchase,requires_pre_app,payment_method_restriction,stacking_layer,user_segment,spend_exclusion_type,disbursement_type,is_first_come_first_served,is_tiered_limit,payment_route_type,is_probabilistic,denomination_list,start_date,end_date,source_url,condition_raw_text
BNF_0036,card_benefits.csv,CARD,SHINHAN_CARD,LineageM 신한카드,GOOGLE_PLAY,ALL,IN_APP,DISCOUNT,10.0,PERCENT,10000,5000.0,300000.0,PREV_SPEND_REQUIRED,False,False,NONE,CARD_ISSUER,ALL_USERS,VOUCHER_EXCLUDED,INSTANT_DISCOUNT,False,True,DIRECT_PAY,False,,,,,"Cond: 건당 1만원 이상 결제 (1회 최대 5,000원 할인), 전월실적 30만원 이상 | MonthlyLimit: 10,000원 ~ 30,000원 (실적 구간별 차등)"
BNF_0037,card_benefits.csv,CARD,SHINHAN_CARD,LineageM 신한카드,ONE_STORE,ALL,IN_APP,DISCOUNT,10.0,PERCENT,10000,5000.0,300000.0,PREV_SPEND_REQUIRED,False,False,NONE,CARD_ISSUER,ALL_USERS,VOUCHER_EXCLUDED,INSTANT_DISCOUNT,False,True,DIRECT_PAY,False,,,,,"Cond: 건당 1만원 이상 결제 (1회 최대 5,000원 할인), 전월실적 30만원 이상 | MonthlyLimit: 10,000원 ~ 30,000원 (실적 구간별 차등)"
BNF_0038,card_benefits.csv,CARD,SHINHAN_CARD,LineageM 신한카드,APP_STORE,ALL,IN_APP,DISCOUNT,10.0,PERCENT,10000,5000.0,300000.0,PREV_SPEND_REQUIRED,False,False,NONE,CARD_ISSUER,ALL_USERS,VOUCHER_EXCLUDED,INSTANT_DISCOUNT,False,True,DIRECT_PAY,False,,,,,"Cond: 건당 1만원 이상 결제 (1회 최대 5,000원 할인), 전월실적 30만원 이상 | MonthlyLimit: 10,000원 ~ 30,000원 (실적 구간별 차등)"
BNF_0039,card_benefits.csv,CARD,NH_NONGHYUP_CARD,NH농협 zgm.play,GOOGLE_PLAY,ALL,IN_APP,DISCOUNT,10.0,PERCENT,10000,0.0,300000.0,PREV_SPEND_REQUIRED,False,False,NONE,CARD_ISSUER,ALL_USERS,VOUCHER_EXCLUDED,INSTANT_DISCOUNT,False,True,DIRECT_PAY,False,,,,,"Cond: 건당 1만원 이상 결제, 전월실적 30만원 이상 | MonthlyLimit: 5,000원 ~ 15,000원 (실적 구간별 차등)"
BNF_0040,card_benefits.csv,CARD,NH_NONGHYUP_CARD,NH농협 zgm.play,ONE_STORE,ALL,IN_APP,DISCOUNT,10.0,PERCENT,10000,0.0,300000.0,PREV_SPEND_REQUIRED,False,False,NONE,CARD_ISSUER,ALL_USERS,VOUCHER_EXCLUDED,INSTANT_DISCOUNT,False,True,DIRECT_PAY,False,,,,,"Cond: 건당 1만원 이상 결제, 전월실적 30만원 이상 | MonthlyLimit: 5,000원 ~ 15,000원 (실적 구간별 차등)"
BNF_0041,card_benefits.csv,CARD,NH_NONGHYUP_CARD,NH농협 zgm.play,APP_STORE,ALL,IN_APP,DISCOUNT,10.0,PERCENT,10000,0.0,300000.0,PREV_SPEND_REQUIRED,False,False,NONE,CARD_ISSUER,ALL_USERS,VOUCHER_EXCLUDED,INSTANT_DISCOUNT,False,True,DIRECT_PAY,False,,,,,"Cond: 건당 1만원 이상 결제, 전월실적 30만원 이상 | MonthlyLimit: 5,000원 ~ 15,000원 (실적 구간별 차등)"
BNF_0042,card_benefits.csv,CARD,SAMSUNG_CARD,삼성 모바일 플러스,GALAXY_STORE,ALL,IN_APP,REWARD,5.0,PERCENT,0,,300000.0,PREV_SPEND_REQUIRED,False,False,NONE,CARD_ISSUER,ALL_USERS,VOUCHER_EXCLUDED,POINT_REWARD,False,False,DIRECT_PAY,False,,,,,Cond: 전월실적 30만원 이상 | MonthlyLimit: 한도 없음 (무제한)
BNF_0043,card_benefits.csv,CARD,SHINHAN_CARD,LineageM 신한카드 체크,GOOGLE_PLAY,ALL,IN_APP,REWARD,5.0,PERCENT,10000,0.0,200000.0,PREV_SPEND_REQUIRED,False,False,NONE,CARD_ISSUER,ALL_USERS,VOUCHER_EXCLUDED,POINT_REWARD,False,True,DIRECT_PAY,False,,,,,"Cond: 건당 1만원 이상 결제, 전월실적 20만원 이상 | MonthlyLimit: 2,000원 ~ 8,000원 (실적 구간별 차등)"
BNF_0044,card_benefits.csv,CARD,SHINHAN_CARD,LineageM 신한카드 체크,ONE_STORE,ALL,IN_APP,REWARD,5.0,PERCENT,10000,0.0,200000.0,PREV_SPEND_REQUIRED,False,False,NONE,CARD_ISSUER,ALL_USERS,VOUCHER_EXCLUDED,POINT_REWARD,False,True,DIRECT_PAY,False,,,,,"Cond: 건당 1만원 이상 결제, 전월실적 20만원 이상 | MonthlyLimit: 2,000원 ~ 8,000원 (실적 구간별 차등)"
BNF_0045,card_benefits.csv,CARD,SHINHAN_CARD,LineageM 신한카드 체크,APP_STORE,ALL,IN_APP,REWARD,5.0,PERCENT,10000,0.0,200000.0,PREV_SPEND_REQUIRED,False,False,NONE,CARD_ISSUER,ALL_USERS,VOUCHER_EXCLUDED,POINT_REWARD,False,True,DIRECT_PAY,False,,,,,"Cond: 건당 1만원 이상 결제, 전월실적 20만원 이상 | MonthlyLimit: 2,000원 ~ 8,000원 (실적 구간별 차등)"
