benefit_id,source_file,category,provider_or_retailer,item_or_event_name,target_platform,target_game,channel_type,benefit_type,benefit_value,benefit_unit,min_spend_krw,max_benefit_krw,min_prev_month_spend_krw,condition_type,is_first_purchase,requires_pre_app,payment_method_restriction,stacking_layer,user_segment,spend_exclusion_type,disbursement_type,is_first_come_first_served,is_tiered_limit,payment_route_type,is_probabilistic,denomination_list,start_date,end_date,source_url,condition_raw_text
BNF_0001,e_payment_benefits.csv,E_PAYMENT,PAYCO,페이코  기본/이벤트 혜택,GOOGLE_PLAY,ALL,IN_APP,REWARD,1.0,PERCENT,0,,,GENERAL,False,False,POINT_ONLY,PAYMENT_PG,ALL_USERS,NONE,POINT_REWARD,False,False,DIRECT_PAY,False,,,,,"다음달 25일에 적립, 무제한 "
BNF_0002,e_payment_benefits.csv,E_PAYMENT,PAYCO,페이코  기본/이벤트 혜택,APP_STORE,ALL,IN_APP,REWARD,1.0,PERCENT,0,,,GENERAL,False,False,POINT_ONLY,PAYMENT_PG,ALL_USERS,NONE,POINT_REWARD,False,False,DIRECT_PAY,False,,,,,"다음달 25일에 적립, 무제한 "
BNF_0003,e_payment_benefits.csv,E_PAYMENT,PAYCO,페이코  기본/이벤트 혜택,ONE_STORE,ALL,IN_APP,REWARD,1.0,PERCENT,0,,,GENERAL,False,False,POINT_ONLY,PAYMENT_PG,ALL_USERS,NONE,POINT_REWARD,False,False,DIRECT_PAY,False,,,,,"다음달 25일에 적립, 무제한"
BNF_0004,e_payment_benefits.csv,E_PAYMENT,PAYCO,페이코 기본/이벤트 혜택,GOOGLE_PLAY,ALL,IN_APP,REWARD,2.0,PERCENT,0,0.0,,GENERAL,False,False,POINT_ONLY,PAYMENT_PG,ALL_USERS,NONE,POINT_REWARD,False,False,DIRECT_PAY,False,,,,,페이코 포인트로 결제
BNF_0005,e_payment_benefits.csv,E_PAYMENT,NAVER_PAY,네이버페이 기본/이벤트 혜택,APP_STORE,ALL,IN_APP,REWARD,1000.0,KRW,0,0.0,,FIRST_PURCHASE,True,False,NONE,PAYMENT_PG,NEW_OR_RETURNING_USER,NONE,POINT_REWARD,False,False,DIRECT_PAY,False,,,,,"네이버페이, 1000원 이상 생애 첫 결제 시"
BNF_0006,e_payment_benefits.csv,E_PAYMENT,SAMSUNG_PAY,삼성페이 기본/이벤트 혜택,GALAXY_STORE,ALL,IN_APP,DISCOUNT,5000.0,KRW,0,0.0,,FIRST_PURCHASE,True,False,POINT_ONLY,PAYMENT_PG,NEW_OR_RETURNING_USER,NONE,INSTANT_DISCOUNT,False,False,DIRECT_PAY,False,,,,,"첫 결제, 5000원 초과 시, 삼성전자 포인트로"
BNF_0007,e_payment_benefits.csv,E_PAYMENT,SAMSUNG_PAY,삼성페이 기본/이벤트 혜택,GALAXY_STORE,ALL,IN_APP,REWARD,100.0,PERCENT,0,0.0,,GENERAL,False,False,POINT_ONLY,PAYMENT_PG,ALL_USERS,NONE,POINT_REWARD,False,False,DIRECT_PAY,True,,,,,"25%확률, 삼성전자 포인트로"
BNF_0008,e_payment_benefits.csv,E_PAYMENT,SAMSUNG_PAY,삼성페이 기본/이벤트 혜택,GALAXY_STORE,ALL,IN_APP,REWARD,1000000.0,KRW,0,0.0,,GENERAL,False,False,POINT_ONLY,PAYMENT_PG,ALL_USERS,NONE,POINT_REWARD,False,False,DIRECT_PAY,False,,,,,"월간 누적 700만원 이상, 삼성전자 포인트로"
BNF_0009,e_payment_benefits.csv,E_PAYMENT,TOSS_PAY,토스페이  기본/이벤트 혜택,GOOGLE_PLAY,ALL,IN_APP,REWARD,70.0,PERCENT,1000,2000.0,,GENERAL,False,False,NONE,PAYMENT_PG,ALL_USERS,NONE,POINT_REWARD,False,False,DIRECT_PAY,False,,2026-08-01,2026-08-31,,"첫결제 최대 2000원, 1000원이상 결제 , 2026년 8월1일 ~2026년 8월 31일 (이벤트)"
BNF_0010,e_payment_benefits.csv,E_PAYMENT,TOSS_PAY,토스페이 기본/이벤트 혜택,GOOGLE_PLAY,ALL,IN_APP,REWARD,15.0,PERCENT,1000,1000.0,,FIRST_PURCHASE,True,False,NONE,PAYMENT_PG,NEW_OR_RETURNING_USER,NONE,POINT_REWARD,False,False,DIRECT_PAY,False,,2026-08-01,2026-08-31,,"180일 이력 없는 재결제자, 최대 1000원, 1000원이상 결제 , 2026년 8월1일 ~2026년 8월 31일 (이벤트)"
BNF_0011,e_payment_benefits.csv,E_PAYMENT,LGU_PLUS,LGU+ 기본/이벤트 혜택,GOOGLE_PLAY,ALL,IN_APP,DISCOUNT,50.0,PERCENT,0,5000.0,,PRE_REGISTRATION,False,True,NONE,PAYMENT_PG,ALL_USERS,NONE,INSTANT_DISCOUNT,False,False,DIRECT_LINK,False,,,,,"이벤트 사전 응모, 최대 5000원"
BNF_0012,e_payment_benefits.csv,TELECOM,KT,KT 기본/이벤트 혜택,GOOGLE_PLAY,ALL,IN_APP,DISCOUNT,10000.0,KRW,10000,0.0,,PRE_REGISTRATION,False,True,NONE,PAYMENT_PG,ALL_USERS,NONE,INSTANT_DISCOUNT,False,False,DIRECT_LINK,False,,,,,"이벤트 사전 응모, 10000원 이상 결제"
