payment_method,google_play,galaxy_store,one_store,app_store
신용/체크카드,true,true,true,true
통신사,true,true,true,true
네이버페이,true,true,true,true
카카오페이,true,true,true,true
은행계좌(kcp),true,true,true,false
Toss 페이,true,true,true,true
PAYCO,true,true,true,true
삼성페이,false,true,true,false
컬쳐랜드결제,false,true,false,false
퀵계좌이체,false,true,true,false
애플페이,false,false,false,true
스토어전용멤버십적립,true,true,true,false
통신사 할인,false,false,true,false
애플 기프트카드,false,false,false,true
구글 기프트카드,true,false,false,false
갤럭시 스토어 기프트카드,false,true,false,false
원 스토어 기프트카드,false,false,true,false
