benefit_id,source_file,category,provider_or_retailer,item_or_event_name,target_platform,target_game,channel_type,benefit_type,benefit_value,benefit_unit,min_spend_krw,max_benefit_krw,min_prev_month_spend_krw,condition_type,is_first_purchase,requires_pre_app,payment_method_restriction,stacking_layer,user_segment,spend_exclusion_type,disbursement_type,is_first_come_first_served,is_tiered_limit,payment_route_type,is_probabilistic,denomination_list,start_date,end_date,source_url,condition_raw_text,content_hash,crawled_at,updated_at,is_active
BNF_TELECOM_SKT_BILLING_452488b1,telecom_skt_billing,DISCOUNT_TELECOM,SKT,SKT 휴대폰결제 멤버십(일반) 콘텐츠 3% 할인,ALL,ALL,IN_APP,DISCOUNT,3.0,PERCENT,0,10000,,GENERAL,FALSE,TRUE,PHONE_BILLING_ONLY,PAYMENT_PG,ALL_USERS,NONE,INSTANT_DISCOUNT,FALSE,FALSE,DIRECT_PAY,FALSE,,,,https://www.tworld.co.kr/web/product/callplan/NA00008061,"월 이용요금 2,900원(부가세 포함) 별도 가입 필요. 모바일 앱 마켓(구글 Play, 원스토어, App Store 등) 및 음악/동영상/웹툰 플랫폼 등에서 SK텔레콤 콘텐츠 이용료로 결제하시면 결제 금액의 3%를 즉시 할인해 드립니다. (월 최대 1만 원 할인)",,,,
BNF_TELECOM_SKT_BILLING_d9e54b8b,telecom_skt_billing,DISCOUNT_TELECOM,SKT,SKT 휴대폰결제 멤버십(일반) 합산 30만원 이상 5천원 할인,ALL,ALL,IN_APP,DISCOUNT,5000.0,KRW,300000,5000,,GENERAL,FALSE,TRUE,PHONE_BILLING_ONLY,PAYMENT_PG,ALL_USERS,NONE,BILL_DISCOUNT,FALSE,FALSE,DIRECT_PAY,FALSE,,,,https://www.tworld.co.kr/web/product/callplan/NA00008061,"월 이용요금 2,900원(부가세 포함) 별도 가입 필요. 휴대폰 결제와 콘텐츠 이용료 결제를 합하여 월 30만 원 이상 이용 시, 5천 원을 추가로 청구할인해 드립니다. 매달 1일부터 마지막 날까지 결제한 금액 기준입니다.",,,,
BNF_TELECOM_SKT_BILLING_682ae018,telecom_skt_billing,DISCOUNT_TELECOM,SKT,SKT 휴대폰결제 멤버십 플래티넘 콘텐츠 5% 할인,ALL,ALL,IN_APP,DISCOUNT,5.0,PERCENT,0,,,MEMBERSHIP_TIER,FALSE,TRUE,PHONE_BILLING_ONLY,PAYMENT_PG,ALL_USERS,NONE,INSTANT_DISCOUNT,FALSE,FALSE,DIRECT_PAY,FALSE,,,,https://www.tworld.co.kr/web/product/callplan/NA00009764,"월 이용요금 9,900원(부가세 포함) 별도 가입 필요. 모바일 앱 마켓(구글 Play, 원스토어, App Store 등) 및 음악/동영상/웹툰 플랫폼 등에서 SK텔레콤 콘텐츠 이용료로 결제하시면 결제 금액의 5%를 즉시 할인해 드립니다.",,,,
BNF_TELECOM_SKT_BILLING_275e5bf7,telecom_skt_billing,DISCOUNT_TELECOM,SKT,SKT 휴대폰결제 멤버십 플래티넘 월 60만원 이상 합산 이용 시 1만원 추가 할인,ALL,ALL,IN_APP,DISCOUNT,10000.0,KRW,600000,10000,,MEMBERSHIP_TIER,FALSE,TRUE,PHONE_BILLING_ONLY,PAYMENT_PG,ALL_USERS,NONE,BILL_DISCOUNT,FALSE,FALSE,DIRECT_PAY,FALSE,,,,https://www.tworld.co.kr/web/product/callplan/NA00009764,"월 이용요금 9,900원(부가세 포함) 별도 가입 필요. 휴대폰 결제와 콘텐츠 이용료 결제를 합하여 월 60만 원 초과 이용 시, 1만 원을 추가로 청구할인해 드립니다. * 매달 1일부터 마지막 날까지 결제한 금액 기준입니다.",,,,
BNF_TELECOM_SKT_ONESTORE_12678835,telecom_skt_onestore,DISCOUNT_TELECOM,SKT,SKT T멤버십 원스토어 게임/앱 10% 할인,ONE_STORE,ALL,IN_APP,DISCOUNT,10.0,PERCENT,0,10000,,GENERAL,FALSE,TRUE,NONE,PAYMENT_PG,ALL_USERS,NONE,INSTANT_DISCOUNT,FALSE,FALSE,DIRECT_PAY,FALSE,,,,https://sktmembership.tworld.co.kr/mps/pc-bff/benefitbrand/detail.do?brandId=1213,"할인은 게임, 게임 인앱, 앱 카테고리 10% 할인, 일 최대 10,000원까지 가능합니다. 1일 1회 할인. 본 혜택은 본인 스마트폰에서 원스토어 본인 ID로 인증을 완료한 고객에 한해 제공됩니다.",,,,
BNF_TELECOM_SKT_ONESTORE_f1854eb6,telecom_skt_onestore,REWARD_TELECOM,SKT,SKT T멤버십 원스토어 게임/앱 10% 적립,ONE_STORE,ALL,IN_APP,REWARD,10.0,PERCENT,0,10000,,GENERAL,FALSE,TRUE,NONE,PAYMENT_PG,ALL_USERS,NONE,POINT_REWARD,FALSE,FALSE,DIRECT_PAY,FALSE,,,,https://sktmembership.tworld.co.kr/mps/pc-bff/benefitbrand/detail.do?brandId=1213,"적립은 게임, 게임 인앱, 앱 카테고리 10% 적립, 일 최대 10,000P까지 가능합니다. 1일 1회 적립. 본 혜택은 본인 스마트폰에서 원스토어 본인 ID로 인증을 완료한 고객에 한해 제공됩니다.",,,,
BNF_TELECOM_KT_ONESTORE_3f12171e,telecom_kt_onestore,DISCOUNT_TELECOM,KT,KT멤버십 원스토어 상시 10% 할인,ONE_STORE,ALL,IN_APP,DISCOUNT,10.0,PERCENT,0,10000,,GENERAL,FALSE,TRUE,NONE,PAYMENT_PG,ALL_USERS,NONE,COUPON_ISSUE,FALSE,FALSE,DIRECT_PAY,FALSE,,,,https://membership.kt.com/discount/partner/C23/66/PartnerDetail.do,"[상시혜택] KT멤버십 전등급 대상 원스토어 게임/앱 카테고리 10% 할인 (일 1회, 최대 1만원 할인)",,,,
BNF_TELECOM_KT_ONESTORE_7e32f51e,telecom_kt_onestore,DISCOUNT_TELECOM,KT,KT멤버십 원스토어 생일혜택 5천원 할인,ONE_STORE,ALL,IN_APP,DISCOUNT,5000.0,KRW,10000,5000,,GENERAL,FALSE,TRUE,NONE,PAYMENT_PG,ALL_USERS,NONE,COUPON_ISSUE,FALSE,FALSE,DIRECT_PAY,FALSE,,,,https://membership.kt.com/discount/partner/C23/66/PartnerDetail.do,[생일혜택] 생일 당월 한정 KT멤버십 전등급 대상 1만원 이상 결제 시 5천원 할인 (원스토어 회원당 1회),,,,
BNF_TELECOM_KT_BILLING_5ce63dd2,telecom_kt_billing,DISCOUNT_TELECOM,KT,KT 휴대폰결제 플러스 프리미엄형 기본 5% 할인,ALL,ALL,IN_APP,DISCOUNT,5.0,PERCENT,0,30000,,GENERAL,FALSE,TRUE,PHONE_BILLING_ONLY,PAYMENT_PG,ALL_USERS,NONE,BILL_DISCOUNT,FALSE,FALSE,DIRECT_PAY,FALSE,,,,https://ktconpay.com/ktplay/addService,"프리미엄형 (월 : 9,900원) 기본할인: 결제금액의 5%(최대 3만원)",,,,
BNF_TELECOM_KT_BILLING_1dac3077,telecom_kt_billing,DISCOUNT_TELECOM,KT,KT 휴대폰결제 플러스 프리미엄형 추가 1만원 할인,ALL,ALL,IN_APP,DISCOUNT,10000.0,KRW,600000,10000,,GENERAL,FALSE,TRUE,PHONE_BILLING_ONLY,PAYMENT_PG,ALL_USERS,NONE,BILL_DISCOUNT,FALSE,FALSE,DIRECT_PAY,FALSE,,,,https://ktconpay.com/ktplay/addService,"프리미엄형 (월 : 9,900원) 추가할인: 60만원 초과 결제 시 추가 1만원 (최대 할인액 : 40,000원)",,,,
